Sent Messages,الرسائل المرسلة
Delivered Messages,الرسائل المُوصّلة
Read Messages,الرسائل المقروءة
Pending Messages,الرسائل المعلّقة
Failed Messages,الرسائل الفاشلة
Received Messages,الرسائل الواردة
WhatsApp Management,إدارة واتساب
Instance Management,إدارة النسخ
Notifications,الإشعارات
Messages,الرسائل
Settings,الإعدادات
Whatsapp Instance,نسخة واتساب
Evolution Server,خادم Evolution
WhatsApp Notification,إشعار واتساب
WhatsApp Templates,قوالب واتساب
WhatsApp Notification Log,سجل إشعارات واتساب
WhatsApp Message,رسالة واتساب
Bulk WhatsApp Message,رسائل واتساب جماعية
WhatsApp Recipient,مستلم واتساب
WhatsApp Recipient List,قائمة مستلمي واتساب
WhatsApp Settings,إعدادات واتساب
You haven't created a Whatsapp Instance yet,لم تنشئ نسخة واتساب بعد
Create your first Whatsapp Instance,أنشئ أول نسخة واتساب
Add Whatsapp Instance,إضافة نسخة واتساب
New Whatsapp Instance,نسخة واتساب جديدة
Instance Details,تفاصيل النسخة
Evolution API server that hosts this instance.,خادم Evolution API الذي يستضيف هذه النسخة.
Linked User,المستخدم المرتبط
The user who owns this instance. A user may own at most one instance.,المستخدم المالك لهذه النسخة. يمكن للمستخدم امتلاك نسخة واحدة كحد أقصى.
Connection,الاتصال
Connection Status,حالة الاتصال
Disconnected,غير متصل
Connecting,جاري الاتصال
Connected,متصل
"Live connection state, fetched automatically from the Evolution API. Cannot be edited manually.",حالة الاتصال المباشرة، تُجلب تلقائياً من Evolution API. لا يمكن تعديلها يدوياً.
Create Instance,إنشاء النسخة
Check Status,فحص الحالة
Create this instance in Evolution API? This will register the instance name and prepare it for QR scanning.,إنشاء هذه النسخة في Evolution API؟ سيسجّل هذا اسم النسخة ويجهّزها لمسح رمز QR.
Instance created successfully. You can now scan the QR code.,تم إنشاء النسخة بنجاح. يمكنك الآن مسح رمز QR.
Show QR Code,عرض رمز QR
Scan the QR Code with WhatsApp,امسح رمز QR بواسطة واتساب
Loading QR code...,جاري تحميل رمز QR...
"Open WhatsApp on your phone, go to Settings → Linked Devices → Link a Device.",افتح واتساب على جوالك، اذهب إلى الإعدادات ← الأجهزة المرتبطة ← ربط جهاز.
Waiting for the connection... this dialog will refresh automatically.,في انتظار الاتصال... ستُحدَّث هذه النافذة تلقائياً.
Test Connection,اختبار الاتصال
Is Active,نشط
Only active servers are used to create new instances.,تُستخدم الخوادم النشطة فقط لإنشاء نسخ جديدة.
Current reachability of the Evolution API server. Updated automatically by the Test Connection button.,إمكانية الوصول الحالية لخادم Evolution API. تُحدَّث تلقائياً بواسطة زر اختبار الاتصال.
Offline,غير متصل
Online,متصل
Credentials (System Manager only),بيانات الاعتماد (لمدير النظام فقط)
Base URL,الرابط الأساسي
API Key,مفتاح API
"Evolution API base URL, e.g. https://evo.example.com. Visible to System Manager only.",الرابط الأساسي لـ Evolution API، مثال: https://evo.example.com. مرئي لمدير النظام فقط.
Global API key (apikey header) for the Evolution API server. Visible to System Manager only.,مفتاح API العام (ترويسة apikey) لخادم Evolution API. مرئي لمدير النظام فقط.
Connection Successful,تم الاتصال بنجاح
Evolution API server is reachable and responding correctly.,خادم Evolution API متاح ويستجيب بشكل صحيح.
No WhatsApp instance linked,لا توجد نسخة واتساب مرتبطة
WhatsApp status unavailable,حالة واتساب غير متاحة
⚠ WhatsApp disconnected! Click the status dot to reconnect.,⚠ واتساب غير متصل! اضغط على نقطة الحالة لإعادة الاتصال.
Send To Whatsapp,إرسال إلى واتساب
Send WhatsApp Message,إرسال رسالة واتساب
Select Template,اختر قالباً
Send to,إرسال إلى
Mobile no,رقم الجوال
Mobile number not found for the selected contact.,لم يُعثر على رقم جوال لجهة الاتصال المختارة.
Preview Message,معاينة الرسالة
Please select a Reference Document Type first,يرجى اختيار نوع المستند المرجعي أولاً
Message Preview,معاينة الرسالة
Based on document:,بناءً على المستند:
Condition set. Edit as needed.,تم ضبط الشرط. عدّله حسب الحاجة.
Click to use this condition,اضغط لاستخدام هذا الشرط
WhatsApp Message Sent Successfully,تم إرسال رسالة واتساب بنجاح
Phone number not found,لم يُعثر على رقم الجوال
Failed to send WhatsApp message,فشل إرسال رسالة واتساب
Notification Name,اسم الإشعار
Notification Type,نوع الإشعار
Reference Document Type,نوع المستند المرجعي
DocType Event,حدث المستند
Scheduler Event,حدث مجدول
Print Format,تنسيق الطباعة
Phone Source,مصدر رقم الجوال
Phone Field,حقل رقم الجوال
WhatsApp Instance,نسخة واتساب
Primary Contact,جهة الاتصال الرئيسية
Field in Document,حقل في المستند
Linked DocType,مستند مرتبط
Disabled,معطّل
Template,القالب
Fields,الحقول
Format,التنسيق
Field name,اسم الحقل
Condition,الشرط
Send Time,وقت الإرسال
Day of Month,يوم من الشهر
Day of Week,يوم من الأسبوع
Repeat Every,التكرار كل
Auto-filled from WhatsApp after successful QR scan connection.,يُملأ تلقائياً من واتساب بعد نجاح الاتصال بمسح رمز QR.
Get Alerts for Today,جلب التنبيهات لهذا اليوم
Required only for DocType Event and Days Before/After,مطلوب فقط لحدث المستند وأيام قبل/بعد
How to find the recipient's phone number,طريقة العثور على رقم جوال المستلم
Before Insert,قبل الإنشاء
After Insert,بعد الإنشاء
Before Save,قبل الحفظ
After Save,بعد الحفظ
Before Submit,قبل الترحيل
After Submit,بعد الترحيل
Before Cancel,قبل الإلغاء
After Cancel,بعد الإلغاء
Before Delete,قبل الحذف
After Delete,بعد الحذف
Days Before,أيام قبل
Days After,أيام بعد
Attach Document Print,إرفاق طباعة المستند
WhatsApp Template requires a document.,قالب واتساب يتطلب مستنداً.
Custom attachment,مرفق مخصص
WhatsApp Template requires document,قالب واتساب يتطلب مستنداً
Enter fields in the right sequence as per the template parameters.,أدخل الحقول بالترتيب الصحيح حسب متغيرات القالب.
No Data,لا توجد بيانات
Add Row,إضافة صف
Python expression that must be true to send. See the Help section below for ready-to-use examples (click an example to insert it).,تعبير Python يجب أن يكون صحيحاً للإرسال. راجع قسم المساعدة أدناه لأمثلة جاهزة (اضغط على مثال لإدراجه).
Expand,توسيع
Set Property After Alert,تعيين خاصية بعد التنبيه
Value To Be Set,القيمة المراد تعيينها
Help,المساعدة
Conditions should be written in simple Python. Please use properties available in the form only.,تُكتب الشروط بلغة Python بسيطة. استخدم فقط الحقول المتوفرة في المستند.
Example:,مثال:
For scheduler events you can use follwing methods,للأحداث المجدولة يمكنك استخدام الدوال التالية
Allowed functions:,الدوال المسموح بها:
"For scheduled events, use",للأحداث المجدولة، استخدم
